,,,,,,Color Sample
,,,,,,
,,,,,,
,,,,,,
Pillar ID,Pillar Name,Pillar Weight,Indicator ID,Indicator Name,Indicator Weight,
P1,Perceived Spread (Pain & Desire Gap),1.5,1,Pain Awareness,1,
,,,2,Desire Clarity,1,
,,,3,Desire Priority,1,
,,,4,Duration of Dissatisfaction,1,
P2,Urgency,1,5,Time Pressure,1,
,,,6,Perceived Cost of Delay,1,
,,,7,Internal Timing Activation,1,
,,,8,Environmental Availability,1,
P3,Decisiveness,1,9,Decision-Making Authority,1,
,,,10,Decision-Making Style,1,
,,,11,Commitment to Decide,1,
,,,12,Self-Permission to Choose,1,
P4,Available Money,1.5,13,Resource Access,1,
,,,14,Resource Fluidity,1,
,,,15,Investment Mindset,1,
,,,16,Resourcefulness,1,
P5,Responsibility & Ownership/ Belief that result is possible,1,17,Problem Recognition,1,
,,,18,Solution Ownership,1,
,,,19,Locus of Control,1,
,,,20,Integrity: Desire vs Action,1,
P6,Price Sensitivity (Reverse Scored),1,21,Emotional Response to Spending,1,
,,,22,Negotiation Reflex,1,
,,,23,Structural Rigidity,1,
P7,Trust ,1,24,External Trust,1,
,,,25,Internal Trust,1,
,,,26,Risk Tolerance,1,
,,,27,ROI Ownership Framing,1,